"state_abbv","county","state_name","country","county_state","Date","Confirmed","Deaths","Recovered"
"Alabama","Aaall","Alabama","US","Alabama",2020-03-21,124,0,1
"AL","Autauga","Alabama","US","Autauga, AL",2020-03-21,0,0,0
"AL","Baldwin","Alabama","US","Baldwin, AL",2020-03-21,2,0,0
"AL","Barbour","Alabama","US","Barbour, AL",2020-03-21,0,0,0
"AL","Bibb","Alabama","US","Bibb, AL",2020-03-21,0,0,0
"AL","Blount","Alabama","US","Blount, AL",2020-03-21,0,0,0
"AL","Bullock","Alabama","US","Bullock, AL",2020-03-21,0,0,0
"AL","Butler","Alabama","US","Butler, AL",2020-03-21,0,0,0
"AL","Calhoun","Alabama","US","Calhoun, AL",2020-03-21,1,0,0
"AL","Chambers","Alabama","US","Chambers, AL",2020-03-21,1,0,0
"AL","Cherokee","Alabama","US","Cherokee, AL",2020-03-21,0,0,0
"AL","Chilton","Alabama","US","Chilton, AL",2020-03-21,0,0,0
"AL","Choctaw","Alabama","US","Choctaw, AL",2020-03-21,0,0,0
"AL","Clarke","Alabama","US","Clarke, AL",2020-03-21,0,0,0
"AL","Clay","Alabama","US","Clay, AL",2020-03-21,0,0,0
"AL","Cleburne","Alabama","US","Cleburne, AL",2020-03-21,0,0,0
"AL","Coffee","Alabama","US","Coffee, AL",2020-03-21,0,0,0
"AL","Colbert","Alabama","US","Colbert, AL",2020-03-21,0,0,0
"AL","Conecuh","Alabama","US","Conecuh, AL",2020-03-21,0,0,0
"AL","Coosa","Alabama","US","Coosa, AL",2020-03-21,0,0,0
"AL","Covington","Alabama","US","Covington, AL",2020-03-21,0,0,0
"AL","Crenshaw","Alabama","US","Crenshaw, AL",2020-03-21,0,0,0
"AL","Cullman","Alabama","US","Cullman, AL",2020-03-21,1,0,0
"AL","Dale","Alabama","US","Dale, AL",2020-03-21,0,0,0
"AL","Dallas","Alabama","US","Dallas, AL",2020-03-21,0,0,0
"AL","DeKalb","Alabama","US","DeKalb, AL",2020-03-21,0,0,0
"AL","Elmore","Alabama","US","Elmore, AL",2020-03-21,6,0,0
"AL","Escambia","Alabama","US","Escambia, AL",2020-03-21,0,0,0
"AL","Etowah","Alabama","US","Etowah, AL",2020-03-21,0,0,0
"AL","Fayette","Alabama","US","Fayette, AL",2020-03-21,0,0,0
"AL","Franklin","Alabama","US","Franklin, AL",2020-03-21,0,0,0
"AL","Geneva","Alabama","US","Geneva, AL",2020-03-21,0,0,0
"AL","Greene","Alabama","US","Greene, AL",2020-03-21,0,0,0
"AL","Hale","Alabama","US","Hale, AL",2020-03-21,0,0,0
"AL","Henry","Alabama","US","Henry, AL",2020-03-21,0,0,0
"AL","Houston","Alabama","US","Houston, AL",2020-03-21,0,0,0
"AL","Jackson","Alabama","US","Jackson, AL",2020-03-21,1,0,0
"AL","Jefferson","Alabama","US","Jefferson, AL",2020-03-21,61,0,0
"AL","Lamar","Alabama","US","Lamar, AL",2020-03-21,1,0,0
"AL","Lauderdale","Alabama","US","Lauderdale, AL",2020-03-21,1,0,0
"AL","Lawrence","Alabama","US","Lawrence, AL",2020-03-21,0,0,0
"AL","Lee","Alabama","US","Lee, AL",2020-03-21,12,0,0
"AL","Limestone","Alabama","US","Limestone, AL",2020-03-21,1,0,0
"AL","Lowndes","Alabama","US","Lowndes, AL",2020-03-21,0,0,0
"AL","Macon","Alabama","US","Macon, AL",2020-03-21,0,0,0
"AL","Madison","Alabama","US","Madison, AL",2020-03-21,6,0,0
"AL","Marengo","Alabama","US","Marengo, AL",2020-03-21,0,0,0
"AL","Marion","Alabama","US","Marion, AL",2020-03-21,1,0,0
"AL","Marshall","Alabama","US","Marshall, AL",2020-03-21,0,0,0
"AL","Mobile","Alabama","US","Mobile, AL",2020-03-21,2,0,0
"AL","Monroe","Alabama","US","Monroe, AL",2020-03-21,0,0,0
"AL","Montgomery","Alabama","US","Montgomery, AL",2020-03-21,3,0,0
"AL","Morgan","Alabama","US","Morgan, AL",2020-03-21,0,0,0
"AL","Perry","Alabama","US","Perry, AL",2020-03-21,0,0,0
"AL","Pickens","Alabama","US","Pickens, AL",2020-03-21,0,0,0
"AL","Pike","Alabama","US","Pike, AL",2020-03-21,0,0,0
"AL","Randolph","Alabama","US","Randolph, AL",2020-03-21,0,0,0
"AL","Russell","Alabama","US","Russell, AL",2020-03-21,0,0,0
"AL","Shelby","Alabama","US","Shelby, AL",2020-03-21,16,0,0
"AL","St. Clair","Alabama","US","St. Clair, AL",2020-03-21,1,0,0
"AL","Sumter","Alabama","US","Sumter, AL",2020-03-21,0,0,0
"AL","Talladega","Alabama","US","Talladega, AL",2020-03-21,1,0,0
"AL","Tallapoosa","Alabama","US","Tallapoosa, AL",2020-03-21,0,0,0
"AL","Tuscaloosa","Alabama","US","Tuscaloosa, AL",2020-03-21,4,0,0
"AL","Walker","Alabama","US","Walker, AL",2020-03-21,1,0,0
"AL","Washington","Alabama","US","Washington, AL",2020-03-21,1,0,0
"AL","Wilcox","Alabama","US","Wilcox, AL",2020-03-21,0,0,0
"AL","Winston","Alabama","US","Winston, AL",2020-03-21,0,0,0
"Alaska","Aaall","Alaska","US","Alaska",2020-03-21,14,0,0
"AK","Aleutians East Borough","Alaska","US","Aleutians East Borough, AK",2020-03-21,0,0,0
"AK","Aleutians West Census Area","Alaska","US","Aleutians West Census Area, AK",2020-03-21,0,0,0
"AK","Anchorage Municipality","Alaska","US","Anchorage Municipality, AK",2020-03-21,4,0,0
"AK","Bethel Census Area","Alaska","US","Bethel Census Area, AK",2020-03-21,0,0,0
"AK","Bristol Bay Borough","Alaska","US","Bristol Bay Borough, AK",2020-03-21,0,0,0
"AK","Denali Borough","Alaska","US","Denali Borough, AK",2020-03-21,0,0,0
"AK","Dillingham Census Area","Alaska","US","Dillingham Census Area, AK",2020-03-21,0,0,0
"AK","Fairbanks North Star Borough","Alaska","US","Fairbanks North Star Borough, AK",2020-03-21,6,0,0
"AK","Haines Borough","Alaska","US","Haines Borough, AK",2020-03-21,0,0,0
"AK","Hoonah-Angoon Census Area","Alaska","US","Hoonah-Angoon Census Area, AK",2020-03-21,0,0,0
"AK","Juneau City and Borough","Alaska","US","Juneau City and Borough, AK",2020-03-21,0,0,0
"AK","Kenai Peninsula Borough","Alaska","US","Kenai Peninsula Borough, AK",2020-03-21,1,0,0
"AK","Ketchikan Gateway Borough","Alaska","US","Ketchikan Gateway Borough, AK",2020-03-21,3,0,0
"AK","Kodiak Island Borough","Alaska","US","Kodiak Island Borough, AK",2020-03-21,0,0,0
"AK","Kusilvak Census Area","Alaska","US","Kusilvak Census Area, AK",2020-03-21,0,0,0
"AK","Lake and Peninsula Borough","Alaska","US","Lake and Peninsula Borough, AK",2020-03-21,0,0,0
"AK","Matanuska-Susitna Borough","Alaska","US","Matanuska-Susitna Borough, AK",2020-03-21,0,0,0
"AK","Nome Census Area","Alaska","US","Nome Census Area, AK",2020-03-21,0,0,0
"AK","North Slope Borough","Alaska","US","North Slope Borough, AK",2020-03-21,0,0,0
"AK","Northwest Arctic Borough","Alaska","US","Northwest Arctic Borough, AK",2020-03-21,0,0,0
"AK","Petersburg Census Area","Alaska","US","Petersburg Census Area, AK",2020-03-21,0,0,0
"AK","Prince of Wales-Hyder Census Area","Alaska","US","Prince of Wales-Hyder Census Area, AK",2020-03-21,0,0,0
"AK","Sitka City and Borough","Alaska","US","Sitka City and Borough, AK",2020-03-21,0,0,0
