state_abbv,county,state_name,country,county_state,Date,Confirmed,Deaths,Recovered
Alabama,Aaall,Alabama,US,Alabama,3/29/2020,827,4,1
AL,Autauga,Alabama,US,"Autauga, AL",3/29/2020,6,0,0
AL,Baldwin,Alabama,US,"Baldwin, AL",3/29/2020,14,0,0
AL,Barbour,Alabama,US,"Barbour, AL",3/29/2020,0,0,0
AL,Bibb,Alabama,US,"Bibb, AL",3/29/2020,0,0,0
AL,Blount,Alabama,US,"Blount, AL",3/29/2020,5,0,0
AL,Bullock,Alabama,US,"Bullock, AL",3/29/2020,3,0,0
AL,Butler,Alabama,US,"Butler, AL",3/29/2020,1,0,0
AL,Calhoun,Alabama,US,"Calhoun, AL",3/29/2020,3,0,0
AL,Chambers,Alabama,US,"Chambers, AL",3/29/2020,26,1,0
AL,Cherokee,Alabama,US,"Cherokee, AL",3/29/2020,2,0,0
AL,Chilton,Alabama,US,"Chilton, AL",3/29/2020,7,0,0
AL,Choctaw,Alabama,US,"Choctaw, AL",3/29/2020,1,0,0
AL,Clarke,Alabama,US,"Clarke, AL",3/29/2020,0,0,0
AL,Clay,Alabama,US,"Clay, AL",3/29/2020,2,0,0
AL,Cleburne,Alabama,US,"Cleburne, AL",3/29/2020,5,0,0
AL,Coffee,Alabama,US,"Coffee, AL",3/29/2020,0,0,0
AL,Colbert,Alabama,US,"Colbert, AL",3/29/2020,2,0,0
AL,Conecuh,Alabama,US,"Conecuh, AL",3/29/2020,0,0,0
AL,Coosa,Alabama,US,"Coosa, AL",3/29/2020,2,0,0
AL,Covington,Alabama,US,"Covington, AL",3/29/2020,2,0,0
AL,Crenshaw,Alabama,US,"Crenshaw, AL",3/29/2020,1,0,0
AL,Cullman,Alabama,US,"Cullman, AL",3/29/2020,7,0,0
AL,Dale,Alabama,US,"Dale, AL",3/29/2020,0,0,0
AL,Dallas,Alabama,US,"Dallas, AL",3/29/2020,2,0,0
AL,DeKalb,Alabama,US,"DeKalb, AL",3/29/2020,4,0,0
AL,Elmore,Alabama,US,"Elmore, AL",3/29/2020,13,0,0
AL,Escambia,Alabama,US,"Escambia, AL",3/29/2020,1,0,0
AL,Etowah,Alabama,US,"Etowah, AL",3/29/2020,6,0,0
AL,Fayette,Alabama,US,"Fayette, AL",3/29/2020,0,0,0
AL,Franklin,Alabama,US,"Franklin, AL",3/29/2020,3,0,0
AL,Geneva,Alabama,US,"Geneva, AL",3/29/2020,0,0,0
AL,Greene,Alabama,US,"Greene, AL",3/29/2020,3,0,0
AL,Hale,Alabama,US,"Hale, AL",3/29/2020,0,0,0
AL,Henry,Alabama,US,"Henry, AL",3/29/2020,0,0,0
AL,Houston,Alabama,US,"Houston, AL",3/29/2020,6,0,0
AL,Jackson,Alabama,US,"Jackson, AL",3/29/2020,5,1,0
AL,Jefferson,Alabama,US,"Jefferson, AL",3/29/2020,240,0,0
